date,direct_burn,direct_burn_kbd,temp_mean_mean,temp_mean_max,temp_mean_std,temp_max_mean,temp_max_max,temp_min_mean,temp_min_min,temp_range_mean,temp_range_max,extreme_heat_sum,very_hot_sum,hot_sum,cooling_degree_days_24_sum,humidity_mean_mean,precipitation_sum,heat_index_mean,heat_index_max,temp_mean_mean_ma3,cooling_degree_days_24_sum_ma3,temp_mean_mean_ma6,cooling_degree_days_24_sum_ma6,temp_mean_lag1,temp_mean_lag2,temp_mean_lag12,month,quarter,month_sin,month_cos,direct_burn_lag1,direct_burn_lag2,direct_burn_lag3,direct_burn_lag12,direct_burn_ma3,direct_burn_ma6,direct_burn_ma12,is_summer,summer_heat,humidity_heat
2010-01-01,292000,292.0,19.243279569892472,23.28333333333333,1.49906053814152,24.92311827956989,29.46666666666667,13.309139784946238,10.808333333333334,11.613978494623655,14.16666666666667,0,0,0,0.0,48.67741935483871,0.08333333333333334,19.735142233734038,26.15328207156665,19.243279569892472,0.0,19.243279569892472,0.0,,,,1,1,0.49999999999999994,0.8660254037844387,,,,,292.0,292.0,292.0,0,0.0,9.367131893860563
2010-02-01,278000,278.0,21.626785714285713,24.51666666666667,3.0739466370920625,27.292559523809526,31.433333333333334,15.335714285714287,6.750000000000002,11.956845238095239,15.524999999999999,0,0,0,1.9916666666666742,43.99702380952381,2.5833333333333335,22.52351649249238,27.168387397537064,20.43503264208909,0.9958333333333371,20.43503264208909,0.9958333333333371,19.243279569892472,,,2,1,0.8660254037844386,0.5000000000000001,292.0,,,,285.0,285.0,285.0,0,0.0,9.515142059948978
2010-03-01,300000,300.0,24.626612903225805,27.825000000000003,2.0199278261707945,30.468548387096774,34.63333333333333,18.02715053763441,13.733333333333334,12.441397849462366,15.324999999999992,0,0,0,37.45,36.92741935483871,0.36666666666666664,25.401950880749865,28.78416247118356,21.832226062467996,13.147222222222226,21.832226062467996,13.147222222222226,21.626785714285713,19.243279569892472,,3,1,1.0,6.123233995736766e-17,278.0,292.0,,,290.0,290.0,290.0,0,0.0,9.093972619667014
2010-04-01,477000,477.0,28.003611111111113,31.891666666666666,1.7844336536391898,33.18916666666667,36.84166666666666,22.234166666666667,16.816666666666666,10.955000000000002,14.00833333333333,0,0,0,120.10833333333333,42.75277777777777,4.608333333333333,31.415282350944274,36.255673833990826,24.752336576207544,53.18333333333334,23.375072324628775,39.8875,24.626612903225805,21.626785714285713,,4,2,0.8660254037844387,-0.4999999999999998,300.0,278.0,292.0,,351.6666666666667,336.75,336.75,0,0.0,11.97232162808642
2010-05-01,588000,588.0,30.82150537634409,34.041666666666664,2.5483262246408636,36.29247311827957,39.85,24.550806451612903,19.591666666666665,11.741666666666667,14.7,0,0,0,211.46666666666664,40.005376344086024,8.283333333333333,34.928359582328376,37.89512925194146,27.817243130227002,123.00833333333333,24.86435893497184,74.20333333333333,28.003611111111113,24.626612903225805,,5,2,0.49999999999999994,-0.8660254037844387,477.0,300.0,278.0,,455.0,387.0,387.0,0,0.0,12.33025922071916
2010-06-01,684000,684.0,33.864444444444445,36.35000000000001,1.5778685689705259,39.62555555555556,43.05,26.983333333333334,24.175,12.642222222222221,14.158333333333328,0,2,11,295.93333333333334,31.50277777777778,0.0,37.48712164562217,39.83296238412702,30.896520310633218,209.16944444444445,26.36437318655061,111.15833333333335,30.82150537634409,28.003611111111113,,6,2,1.2246467991473532e-16,-1.0,588.0,477.0,300.0,,583.0,436.5,436.5,1,33.864444444444445,10.668240679012348
2010-07-01,674000,674.0,34.611827956989245,36.358333333333334,1.0208152474442065,39.991397849462366,41.96666666666667,28.173655913978493,25.883333333333336,11.817741935483872,14.066666666666666,0,0,14,328.9666666666667,34.56720430107527,0.0,39.65779477518502,43.601708952058544,33.09925925925926,278.7888888888889,28.9257979177334,165.98611111111111,33.864444444444445,30.82150537634409,,7,3,-0.4999999999999997,-0.8660254037844388,684.0,588.0,477.0,,648.6666666666666,500.1666666666667,470.42857142857144,1,34.611827956989245,11.964341282229158
2010-08-01,911000,911.0,35.07634408602151,35.93333333333334,0.3949571986550132,40.259139784946235,40.94166666666666,28.581989247311828,26.991666666666667,11.67715053763441,13.30833333333333,0,0,21,343.3666666666667,36.766129032258064,0.0,41.067903138445374,42.42918261410765,34.51753882915173,322.7555555555556,31.167390979689362,222.88194444444446,34.611827956989245,33.864444444444445,,8,3,-0.8660254037844385,-0.5000000000000004,674.0,684.0,588.0,,756.3333333333334,605.6666666666666,525.5,1,35.07634408602151,12.896213926465489
2010-09-01,722000,722.0,32.21333333333333,34.61666666666667,1.193780979417882,37.64555555555556,39.96666666666666,25.89,23.941666666666666,11.755555555555556,13.025000000000002,0,0,0,246.4,38.427777777777784,0.0,36.926544208209656,40.59596333825479,33.967168458781366,306.24444444444447,32.43184438470728,257.70694444444445,35.07634408602151,34.611827956989245,,9,3,-1.0,-1.8369701987210297e-16,911.0,674.0,684.0,,769.0,676.0,547.3333333333334,1,32.21333333333333,12.378868148148149
2010-10-01,617000,617.0,29.017473118279568,31.25,1.6816236571401129,34.84704301075269,37.38333333333333,22.470161290322583,19.8,12.376881720430108,15.108333333333334,0,0,0,155.54166666666666,40.0752688172043,0.5416666666666667,32.38345315405858,36.00705963853227,32.1023835125448,248.43611111111113,32.60082138590203,263.6125,32.21333333333333,35.07634408602151,,10,4,-0.8660254037844386,0.5000000000000001,722.0,911.0,674.0,,750.0,699.3333333333334,554.3,0,0.0,11.628830356110532
